Level,Phase,Stage_ID,Title,Classification,Frequency,Moved_From,Notes
5,1,Lv5-P1-S01,의도/목표 선명화,코어,최고,,Executive 회의 의도 전달
5,1,Lv5-P1-S02,범위·제약 정의,코어,최고,,프로젝트 스코핑
5,1,Lv5-P1-S03,가설·가정 제시,코어,최고,,전략적 가정 설정
5,1,Lv5-P1-S04,신속한 얼라인,코어,최고,,Stand-up 미팅
5,2,Lv5-P2-S05,근거 제시·요청,코어,최고,,데이터 기반 논증
5,2,Lv5-P2-S06,비교·벤치마킹,코어,최고,,경쟁사 분석 표현
5,2,Lv5-P2-S07,추세·시계열 설명,옵션,높음,,데이터 분석 전문용어
5,2,Lv5-A2-S08,인사이트 요약,브릿지,최고,,Level 6 고급 분석 연결
5,3,Lv5-P3-S09,전략 옵션 제시,코어,최고,,전략 대안 평가
5,3,Lv5-P3-S10,트레이드오프·우선순위,코어,최고,,의사결정 트레이드오프
5,3,Lv5-P3-S11,리스크·완화책,코어,최고,,위험 관리 계획
5,3,Lv5-P3-S12,결정·합의 문구,코어,최고,,의사결정 확정
5,4,Lv5-P4-S13,설득·반론 처리,코어,최고,,협상 커뮤니케이션
5,4,Lv5-P4-S14,협상 표현,코어,최고,,비즈니스 협상 스킬
5,4,Lv5-P4-S15,이해관계자 관리,옵션,높음,,스테이크홀더 관리 전문영역
5,4,Lv5-A4-S16,역할·소유권 명확화,브릿지,최고,,Level 6 프로젝트 관리 연결
5,5,Lv5-P5-S17,측정·지표·성공 기준,코어,최고,,KPI 성과 관리
5,5,Lv5-P5-S18,리뷰·레트로,코어,최고,,피드백 및 회고
5,5,Lv5-P5-S19,포멀 피드백·문서톤,옵션,높음,,공식 문서 작성용
5,5,Lv5-P5-S20,결정 기록,코어,최고,,Decision log 관리
5,6,Lv5-P6-S21,국제·문화 간 배려,코어,최고,,글로벌 팀 소통
5,6,Lv5-P6-S22,전문가·학술 톤,코어,최고,,전문 분야 스피킹
5,6,Lv5-P6-S23,발표·Q&A 핸들링,코어,최고,,프레젠테이션 스킬
5,6,Lv5-A6-S24,외부 이해관계자,브릿지,최고,,Level 6 전문 분야별 소통 연결
6,1,Lv6-P1-S01,제품 로드맵·비전,코어,최고,,Product 회의 비전 논의
6,1,Lv6-P1-S02,사용자 경험·피드백,코어,최고,,UX 연구 결과 공유
6,1,Lv6-P1-S03,기술 요구사항·스펙,코어,최고,,기술 명세 협의
6,1,Lv6-P1-S04,출시·반복 계획,코어,최고,,Go-to-Market 전략
6,2,Lv6-P2-S05,데이터 수집·정제,코어,최고,,데이터 파이프라인 설계
6,2,Lv6-P2-S06,분석 방법론·통계,코어,최고,,통계적 유의성 논의
6,2,Lv6-P2-S07,시각화·대시보드,옵션,높음,,데이터 스토리텔링 전문용어
6,2,Lv6-A2-S08,예측 모델링·인사이트,브릿지,최고,,Level 7 글로벌 시장 예측 연결
6,3,Lv6-P3-S09,프로세스 최적화,코어,최고,,운영 효율성 개선
6,3,Lv6-P3-S10,품질 관리·표준,코어,최고,,품질 보증 시스템
6,3,Lv6-P3-S11,공급망·운영,코어,최고,,공급망 효율성 관리
6,3,Lv6-P3-S12,성과 모니터링·개선,코어,최고,,KPI 모니터링
6,4,Lv6-P4-S13,파트너십·제휴,코어,최고,,전략적 제휴 협상
6,4,Lv6-P4-S14,계약·협상 전문,코어,최고,,계약 조건 협상
6,4,Lv6-P4-S15,법무·컴플라이언스,옵션,높음,,법적 준수 전문영역
6,4,Lv6-A4-S16,프로젝트 거버넌스,브릿지,최고,,Level 7 국제 프로젝트 관리 연결
6,5,Lv6-P5-S17,고객 성공·유지,코어,최고,,고객 성공 지표 관리
6,5,Lv6-P5-S18,마케팅·브랜딩,코어,최고,,브랜드 포지셔닝 전략
6,5,Lv6-P5-S19,영업·수익 최적화,옵션,높음,,영업 파이프라인 전문영역
6,5,Lv6-P5-S20,시장 확장·진출,코어,최고,,신규 시장 진출 전략
6,6,Lv6-P6-S21,조직 변화·혁신,코어,최고,,디지털 전환 리더십
6,6,Lv6-P6-S22,인재·팀 빌딩,코어,최고,,인재 채용 및 개발
6,6,Lv6-P6-S23,전략 실행·모니터링,코어,최고,,전략적 이니셔티브 관리
6,6,Lv6-A6-S24,이사회·투자자 소통,브릿지,최고,,Level 7 다국적 기업 커뮤니케이션 연결
7,1,Lv7-P1-S01~,완곡 표현 일부,코어→옵션,중간,Lv2로 전방배치,스피킹 필수는 L2로 이동
8,1,Lv8-P1-S01~,고급 전치사 결합,옵션,낮음,,심화 트랙으로 분리
9,3,Lv9-P3-S01~,학술·보고체,옵션,낮음,,선택형 발표·리포트용
9,4,Lv9-P4-S01~,수사·문학 장치,옵션,낮음,,스피치·프레젠용 선택
10,1,Lv10-P1-S01~,스피킹 코어 세트,코어,최고,,최종 완성형 유지
